CAND_0000001	0.582278
CAND_0000002	0.464893
CAND_0000003	0.000000
CAND_0000004	0.478239
CAND_0000005	0.139308
CAND_0000006	0.102790
CAND_0000007	0.211023
CAND_0000008	0.302661
CAND_0000009	0.456726
CAND_0000010	0.267039
CAND_0000011	0.429164
CAND_0000012	0.145051
CAND_0000013	0.134427
CAND_0000014	0.312041
CAND_0000015	0.197994
CAND_0000016	0.392111
CAND_0000017	0.409424
CAND_0000018	0.348655
CAND_0000019	0.286100
CAND_0000020	0.511286
CAND_0000021	0.600486
CAND_0000022	0.432024
CAND_0000023	0.430055
CAND_0000024	0.529799
CAND_0000025	0.187276
CAND_0000026	0.440363
CAND_0000027	0.358180
CAND_0000028	0.159837
CAND_0000029	0.471977
CAND_0000030	0.347373
CAND_0000031	1.000000
CAND_0000032	0.442086
CAND_0000033	0.180234
CAND_0000034	0.476245
CAND_0000035	0.346099
CAND_0000036	0.448554
CAND_0000037	0.205944
CAND_0000038	0.168580
CAND_0000039	0.361056
CAND_0000040	0.165319
CAND_0000041	0.376332
CAND_0000042	0.535717
CAND_0000043	0.277297
CAND_0000044	0.274908
CAND_0000045	0.434392
CAND_0000046	0.258141
CAND_0000047	0.000000
CAND_0000048	0.193489
CAND_0000049	0.182945
CAND_0000050	0.329017
CAND_0000051	0.406049
CAND_0000052	0.166821
CAND_0000053	0.209305
CAND_0000054	0.404649
CAND_0000055	0.367907
CAND_0000056	0.437647
CAND_0000057	0.322747
CAND_0000058	0.298327
CAND_0000059	0.300819
CAND_0000060	0.158565
CAND_0000061	0.204124
CAND_0000062	0.401858
CAND_0000063	0.341659
CAND_0000064	0.091540
CAND_0000065	0.335327
CAND_0000066	0.134291
CAND_0000067	0.443443
CAND_0000068	0.344352
CAND_0000069	0.467018
CAND_0000070	0.169807
CAND_0000071	0.347317
CAND_0000072	0.142266
CAND_0000073	0.231413
CAND_0000074	0.897214
CAND_0000075	0.352385
CAND_0000076	0.171597
CAND_0000077	0.451940
CAND_0000078	0.298123
CAND_0000079	0.096800
CAND_0000080	0.291434
CAND_0000081	0.226149
CAND_0000082	0.471439
CAND_0000083	0.612398
CAND_0000084	0.364080
CAND_0000085	0.508166
CAND_0000086	0.417960
CAND_0000087	0.214294
CAND_0000088	0.386651
CAND_0000089	0.000000
CAND_0000090	0.410447
CAND_0000091	0.199388
CAND_0000092	0.527846
CAND_0000093	0.314156
CAND_0000094	0.535750
CAND_0000095	0.319470
CAND_0000096	0.287178
CAND_0000097	1.000000
CAND_0000098	0.133390
CAND_0000099	0.146533
CAND_0000100	0.513216
CAND_0000101	0.206285
CAND_0000102	0.091929
CAND_0000103	0.228890
CAND_0000104	0.413397
CAND_0000105	0.634511
CAND_0000106	0.440599
CAND_0000107	0.351963
CAND_0000108	0.275399
CAND_0000109	0.119897
CAND_0000110	0.330579
CAND_0000111	0.214940
CAND_0000112	0.949191
CAND_0000113	0.213393
CAND_0000114	0.313708
CAND_0000115	0.336494
CAND_0000116	0.144219
CAND_0000117	0.280954
CAND_0000118	0.148500
CAND_0000119	0.328622
CAND_0000120	0.881172
CAND_0000121	1.000000
CAND_0000122	0.383165
CAND_0000123	0.209535
CAND_0000124	0.237668
CAND_0000125	0.171075
CAND_0000126	0.450275
CAND_0000127	0.330168
CAND_0000128	0.441702
CAND_0000129	0.356705
CAND_0000130	0.365655
CAND_0000131	0.565857
CAND_0000132	0.210055
